house_domain,name,uf,lots_finalizados,lots_vendidos,lots_zero_lance,martelo_medio,lots_ao_vivo,sell_through,zero_bid_rate
outrasepocas.com.br,Outras Épocas - Coleções e Antiguidades,SP,52421,33412,18369,87.44600742248294,0,0.6373781499780622,0.3504130024226932
anaaquinoleiloes.com.br,Ana Aquino Leilões,SP,31800,4995,26805,90.63463463463464,0,0.1570754716981132,0.8429245283018868
pontodocolecionadorleiloes.com.br,Ponto do Colecionador leilões,,27851,23639,4198,68.35077625957105,0,0.8487666511076801,0.15073067394348497
anamelloleiloeira.com.br,Ana Mello Leiloeira,RJ,23074,12414,10446,102.97357821814082,261,0.5380081476987085,0.4527173441969316
budanoleiloeiro.com.br,Francesco Budano - Leiloeiro Oficial,SP,18580,8260,9872,170.8001210653753,30,0.4445640473627557,0.531324004305705
leiloes.vilaricamoedas.com,Vila Rica Moedas,,18263,16546,1689,836.921370724042,0,0.9059847779663801,0.09248206756830751
saturnoleiloes.com.br,Saturno Leilões,,16200,16054,140,8.48897471035256,0,0.9909876543209877,0.008641975308641974
ghnumismatica.com.br,GH Numismática,RJ,15229,5493,9734,65.04696886947023,0,0.36069341388141046,0.6391752577319587
carolcolecionismo.com.br,Carol Colecionismo,SP,14399,3848,10551,10.933212058212058,0,0.2672407806097646,0.7327592193902355
bradg.com.br,Bradg Brazilian Art e Design Gallery,PR,14379,1057,13272,205.3755912961211,47,0.073509979831699,0.9230127268933862
karlosarteleiloes.com.br,Karlos Arte Leilões,,13087,3546,9541,55.488155668358715,0,0.27095591044548023,0.7290440895545197
prochicleiloes.com.br,Pró Chic Leilões,RJ,10015,1559,8352,72.97883258499037,265,0.15566650024962556,0.8339490763854218
bonstemposleiloes.com.br,Bons Tempos Leilões,RJ,9647,503,9120,3684.055666003976,0,0.0521405618326941,0.9453716181196227
brooksleiloes.com.br,Brooks Leilões,SP,9338,4381,4809,91.26866012325954,0,0.46915827800385523,0.5149925037481259
