house_domain,lot_id,title,uf,lot_url,item_type_normalized,designer,attribution_strength,condition_tier,size_class,current_bid_brl,bid_count,est_resale_base,est_gross_margin_pct,signal,signal_reasons
casaamarelaleiloes.net.br,31013705,CAVANI ROSAS. Mede: 50 x 36 com moldura 73 x 58 cm de alt,,https://casaamarelaleiloes.net.br/peca.asp?Id=31013705,outro,,NONE,none,medium,0.0,0,54.0,-11.5,AVOID,margem abaixo de WATCH | base=type_comps (conservador p25)
casaamarelaleiloes.net.br,31013704,CAVANI ROSAS. Mede: 45 x 28 cm de alt com moldura 66 x 52 cm de alt,,https://casaamarelaleiloes.net.br/peca.asp?Id=31013704,outro,,NONE,none,medium,0.0,0,54.0,-11.5,AVOID,margem abaixo de WATCH | base=type_comps (conservador p25)
capitaldasartes.com.br,31184154,capa,RJ,https://capitaldasartes.com.br/peca.asp?Id=31184154,outro,,NONE,none,medium,0.0,0,54.0,-11.5,AVOID,acessório/peça avulsa (não é o móvel inteiro); comp não aplicável | base=type_comps (conservador p25)
leiloeslemos.com.br,31224279,"Par de Copos Decorativos em Vidro, sendo um em vidro azul gravado e outro com decoração natalina metalizada em formato de pinheiro. Maior mede 8 cm de altura por 5,5 cm de diâmetro. CONFORME FOTOS.",,https://leiloeslemos.com.br/peca.asp?Id=31224279,cristal_vidro,,NONE,none,small,6.0,0,153.0,-0.4033,AVOID,margem abaixo de WATCH | base=type_comps (conservador p25)
anamelloleiloeira.com.br,31100478,REVISTA / PRIVATE COLLECTION / 3 VOLUMES / Bom estado em geral,RJ,https://anamelloleiloeira.com.br/peca.asp?Id=31100478,livro,,NONE,none,medium,10.0,1,63.0,-9.3889,AVOID,margem abaixo de WATCH | base=type_comps (conservador p25)
anamelloleiloeira.com.br,31098225,REVISTA / VIP / abril / Bom estado em geral,RJ,https://anamelloleiloeira.com.br/peca.asp?Id=31098225,livro,,NONE,none,medium,10.0,0,63.0,-9.3889,AVOID,margem abaixo de WATCH | base=type_comps (conservador p25)
anamelloleiloeira.com.br,31098224,REVISTA / VIP / fevereiro 2007 / Bom estado em geral,RJ,https://anamelloleiloeira.com.br/peca.asp?Id=31098224,livro,,NONE,none,medium,10.0,0,63.0,-9.3889,AVOID,margem abaixo de WATCH | base=type_comps (conservador p25)
anamelloleiloeira.com.br,31098222,REVISTA / VIP / mariana rios / Bom estado em geral,RJ,https://anamelloleiloeira.com.br/peca.asp?Id=31098222,livro,,NONE,none,medium,10.0,0,63.0,-9.3889,AVOID,margem abaixo de WATCH | base=type_comps (conservador p25)
anamelloleiloeira.com.br,31098219,REVISTA / VIP / edicao especial musica 2007 / Ellen Rocche / Bom estado em geral,RJ,https://anamelloleiloeira.com.br/peca.asp?Id=31098219,livro,,NONE,none,medium,10.0,0,63.0,-9.3889,AVOID,margem abaixo de WATCH | base=type_comps (conservador p25)
anamelloleiloeira.com.br,31098217,REVISTA / VIP / novembro 2008 / Bom estado em geral,RJ,https://anamelloleiloeira.com.br/peca.asp?Id=31098217,livro,,NONE,none,medium,10.0,1,63.0,-9.3889,AVOID,margem abaixo de WATCH | base=type_comps (conservador p25)
