item_type,ofertados,vendidos,zero_lance,martelo_medio,lances_medio,ao_vivo,martelo_mediano,sell_through,zero_bid_rate
outro,572765,323796,243774,402.277399967881,4.026893476139297,956,34.0,0.5653208558483845,0.4256091067017014
moeda,153821,86818,66281,254.93361975627175,5.396899260522011,5,71.0,0.56440928091743,0.43089695165159503
brinquedo,135445,85606,48233,90.13212858911758,3.1717286171530032,20,60.0,0.6320351434161467,0.35610764516962606
joia,102271,39867,59022,1549.7698597837812,5.970125667845586,250,240.0,0.38981725024689307,0.5771137468099461
disco_vinil,79258,60740,18100,72.52678630227197,6.204889693776753,0,43.0,0.7663579701733579,0.22836811425975928
prata_metal,75962,52885,21800,386.2946014938073,6.194138224449277,424,120.0,0.6962033648403149,0.286985598062189
quadro_pintura,72048,22999,47658,1108.6367668159485,4.13283186225488,1181,199.0,0.3192177437264046,0.6614756828780812
cedula,62198,27909,34160,89.1146225232004,3.5738650614497116,0,30.0,0.4487121772404257,0.5492138010868517
livro,53134,28169,24564,110.28201214100606,4.582555291277646,94,30.0,0.5301501863213761,0.4623028569277675
porcelana_ceramica,52320,26731,24280,176.80397291534175,4.046500317982867,1482,72.0,0.5109136085626911,0.46406727828746175
cristal_vidro,46806,19208,26489,238.24864639733445,3.8774989587671804,1223,85.0,0.4103747382814169,0.565931718155792
gravura,46191,11471,34005,420.19370586696886,3.6680324296050912,832,199.0,0.2483384209045052,0.7361823731895824
escultura,45292,15273,29008,712.9609114122962,5.05185621685327,137,170.0,0.3372118696458536,0.640466307515676
selo_filatelia,35226,23240,11808,76.15374354561102,3.5908347676419967,24,15.0,0.6597399647987282,0.33520694941236584
mesa,20033,9905,9534,742.7556789500252,6.156587582029278,365,141.0,0.49443418359706487,0.4759147406778815
medalha,16458,8262,7991,388.5930767368676,4.962599854756718,47,90.0,0.5020051039008385,0.4855389476242557
relogio,15065,8669,5973,544.7397623716691,7.11939093321029,2,120.0,0.5754397610355128,0.39648191171589775
luminaria_lustre,14150,7150,6602,892.7388811188811,7.284195804195805,176,200.0,0.5053003533568905,0.4665724381625442
banco,10187,5922,4087,1200.3926038500506,8.573792637622425,84,120.0,0.5813291449887111,0.40119760479041916
cadeira,5923,3276,2343,1933.3403540903541,12.01953601953602,95,550.0,0.5530980921830153,0.39557656592942764
poltrona,5780,3379,1948,4845.548091151229,19.205090263391536,163,2100.0,0.5846020761245675,0.3370242214532872
tapete,5553,2812,2531,1510.4288762446656,7.757823613086771,257,400.0,0.5063929407527462,0.45578966324509274
fotografia,5026,2235,2701,243.62102908277404,3.331543624161074,16,60.0,0.4446876243533625,0.5374054914444887
objeto_decorativo,4747,2274,2345,363.7590149516271,5.335971855760774,21,120.0,0.47903939330103223,0.49399620813145145
espelho,4434,2511,1766,923.8677817602548,8.55515730784548,42,350.0,0.5663058186738836,0.39828597203428057
par_de_poltronas,3360,2119,971,6915.478999528079,21.858895705521473,56,3600.0,0.6306547619047619,0.2889880952380952
mesa_de_centro,3262,1923,1137,2831.195527821113,15.004160166406656,96,1100.0,0.5895156345800122,0.3485591661557327
sofa,3162,2003,885,5940.432351472791,18.93859211183225,51,2600.0,0.633459835547122,0.27988614800759015
aparador,2858,1551,1148,3881.50805931657,13.237911025145067,88,1100.0,0.5426871938418475,0.40167949615115467
mesa_lateral,2855,1763,897,1186.838910947249,10.767441860465116,70,460.0,0.6175131348511383,0.31418563922942205
estante,2679,1485,1087,2377.3777777777777,10.714478114478114,58,650.0,0.5543113101903695,0.4057484135871594
conjunto_de_cadeiras,2371,1589,619,5315.801762114537,18.702957835116425,33,2100.0,0.6701813580767608,0.2610712779417967
mesa_de_jantar,1924,1069,689,4362.334892422825,15.800748362956034,35,1900.0,0.5556133056133056,0.3581081081081081
par_de_cadeiras,1811,939,790,2163.8242811501595,13.117145899893504,33,800.0,0.518498067366096,0.43622308117062397
cama,1420,827,535,1510.8754534461912,10.314389359129382,40,400.0,0.5823943661971831,0.3767605633802817
armario,1177,589,569,1103.2682512733447,5.792869269949066,20,140.0,0.5004248088360238,0.48343245539507224
comoda,1152,635,455,2110.8456692913387,11.525984251968504,34,850.0,0.5512152777777778,0.3949652777777778
escrivaninha,1054,581,397,3365.390705679862,13.905335628227194,30,1400.0,0.5512333965844403,0.3766603415559772
cristaleira,604,304,282,475.6842105263158,5.407894736842105,11,140.0,0.5033112582781457,0.46688741721854304
carrinho_de_cha,485,326,121,3694.8159509202455,16.45398773006135,8,1000.0,0.6721649484536083,0.24948453608247423
livro_arte,21,11,10,35.45454545454545,2.090909090909091,0,15.0,0.5238095238095238,0.47619047619047616
