house_domain,lot_id,title,uf,lot_url,item_type_normalized,designer,attribution_strength,condition_tier,size_class,current_bid_brl,bid_count,est_resale_base,est_total_cost,est_gross_profit,est_gross_margin_pct,max_bid_40pct,confidence,signal,signal_reasons
resgatemoveisleiloes.com,31149377,"Abraham Palatnik - Mesa de centro com tampo em pintura e vidro por cima, estrutura em ferro tubular com revisteiro selado. Medidas: 56cm comprimento x 41cm largura x 40cm altura. Peça de época, vendida no estado em que se encontra. Pode apresentar marcas naturais do tempo e desgastes. Para mais detalhes sobre a condição e agendamento de visita, consulte via WhatsApp antes de dar o lance.",SP,https://resgatemoveisleiloes.com/peca.asp?Id=31149377,mesa_de_centro,abraham_palatnik,STATED,heavy,large,1100.0,2,46350.0,2905.0,22252.7,0.8845,12709.16,0.7,BUY_NOW,margem 88%; comps=4; designer=abraham_palatnik(STATED) | base=designer_comps (conservador p25)
rrdeco.com.br,31063427,"RR Antiguidades Antigo quadro representando cena de Mulher assinada pelo artista KONN. Peca estimada da decada de 60. Dimensao aproximada de: externa com altura de 71,0 cms x comprimento de 56,0 cms. Peca em otimo estado. Peca com protecao em vidro. Segundo informacoes dos correios pecas com mais de 70 cms tem um acrescimo de 80 reais para o envio.  Cod 9021",RJ,https://rrdeco.com.br/peca.asp?Id=31063427,cristal_vidro,moveis_cimo,DOCUMENTED,none,small,400.0,0,12060.0,540.0,6795.0,0.9264,4077.14,0.7,BUY_NOW,margem 93%; comps=3; designer=moveis_cimo(DOCUMENTED) | base=designer_comps (conservador p25)
jfleiloeira.com.br,30952041,"Mesa lateral, confeccionada em madeira nobre, ricamente torneada, com tampo em mosaico, nas cores amarelo, branco e preto. Med.: 56 x 66 x 60 cm.  OBS: Retirada por conta do arrematante no Catumbi com agendamento prévio.",RJ,https://jfleiloeira.com.br/peca.asp?Id=30952041,mesa_lateral,branco_e_preto,STATED,none,medium,160.0,0,7560.0,438.0,6312.0,0.9351,3600.0,0.7,BUY_NOW,margem 94%; comps=3; designer=branco_e_preto(STATED) | base=designer_comps (conservador p25)
jfleiloeira.com.br,31131025,"Mesa lateral, confeccionada em madeira nobre, ricamente torneada, com tampo em mosaico, nas cores amarelo, branco e preto. Med.: 56 x 66 x 60 cm.  OBS: Retirada por conta do arrematante no Catumbi com agendamento prévio.",RJ,https://jfleiloeira.com.br/peca.asp?Id=31131025,mesa_lateral,branco_e_preto,STATED,none,medium,180.0,0,7560.0,459.0,6291.0,0.932,3600.0,0.7,BUY_NOW,margem 93%; comps=3; designer=branco_e_preto(STATED) | base=designer_comps (conservador p25)
conradoleiloeiro.com.br,31081212,"SERGIO RODRIGUES- CIMBA poltrona anos 80 do premiado designer em madeira nobre, peça em ótimo estado com marcas de uso medindo 68x 67x 59 cm",RJ,https://conradoleiloeiro.com.br/peca.asp?Id=31081212,poltrona,sergio_rodrigues,STATED,light,large,260.0,7,14819.4,1123.0,6032.0,0.843,3279.05,0.85,BUY_NOW,margem 84%; comps=364; designer=sergio_rodrigues(STATED) | base=designer_comps (conservador p25)
raildacosta.com.br,31113469,"SERGIO RODRIGUES - poltronas IAB em madeira e ferro com prancheta recolhivel, duas acopladas - feitas para auditórios 87x43x112 cm (no estado)",,https://raildacosta.com.br/peca.asp?Id=31113469,poltrona,sergio_rodrigues,STATED,heavy,large,570.0,2,14819.4,2348.5,4806.5,0.6718,2421.9,0.85,BUY_NOW,margem 67%; comps=364; designer=sergio_rodrigues(STATED) | base=designer_comps (conservador p25)
interiorantigo.com.br,31100448,"Par de Poltronas, Anos 70 - Produzidas em espuma injetada, apresentam desenho característico do período, privilegiando conforto e ergonomia por meio de formas amplas e acolhedoras. O conjunto possui estética semelhante aos projetos de Percival Lafer, evidenciando a linguagem descontraída e funcional típica do mobiliário da década. Com proporções generosas e presença visual marcante, medem 64 cm de altura, 84 cm de largura e 88 cm de profundidade. Por se tratar de peças de época, podem conter avarias que realçam sua autenticidade e valor histórico.",SP,https://interiorantigo.com.br/peca.asp?Id=31100448,par_de_poltronas,percival_lafer,STATED,none,large,4000.0,1,18900.0,4750.0,4610.0,0.4925,4824.76,0.85,BUY_NOW,margem 49%; comps=181; designer=percival_lafer(STATED) | base=designer_comps (conservador p25)
mbantiguidades.com.br,31070038,"SÉRGIO RODRIGUES - Banco Mocho. Esculpido em madeira maciça escurecida. Pés torneados e tampo cavado. É uma versão do banco de  Design  de Sérgio Rodrigues que criou o banco mocho como uma interpretação livre do banco popular usado na ordenha, cenário rural brasileiro. Lançado em 1954  é  um clássico do design brasileiro. Med: 40cm D x 37cm AL - Obs: Temos outra peça igual a essa no leilão..RETIRADA NA TIJUCA COM AGENDAMENTO PRÉVIO PARA RJ - OUTROS ESTADO SOMENTE FRTE/TRANSPORTADORA",RJ,https://mbantiguidades.com.br/peca.asp?Id=31070038,banco,sergio_rodrigues,STATED,none,medium,700.0,1,9720.0,1005.0,3765.0,0.7893,2468.57,0.85,BUY_NOW,margem 79%; comps=198; designer=sergio_rodrigues(STATED) | base=designer_comps (conservador p25)
mbantiguidades.com.br,31070030,"SÉRGIO RODRIGUES - Banco Mocho. Esculpido em madeira maciça escurecida. Pés torneados e tampo cavado. É uma versão do banco de  Design  de Sérgio Rodrigues que criou o banco mocho como uma interpretação livre do banco popular usado na ordenha, cenário rural brasileiro.  O Banco Mocho foi lançado em 1954, por Sergio Rodrigues, há exatamente 70 anos. É um clássico do design brasileiro.Med: 40cm D x 37cm  Al ====== ESTA PEÇA NÃO PODERÁ SER ENVIADA POR CORREIOS. DEVERÁ SER RETIRADA COM AGENDAMENTO PRÉVIO PARA RJ - OUTROS ESTADO SOMENTE FRETE/TRANSPORTADORA",RJ,https://mbantiguidades.com.br/peca.asp?Id=31070030,banco,sergio_rodrigues,STATED,none,medium,750.0,2,9720.0,1057.5,3712.5,0.7783,2468.57,0.85,BUY_NOW,margem 78%; comps=198; designer=sergio_rodrigues(STATED) | base=designer_comps (conservador p25)
interiorantigo.com.br,31100445,"Rara Poltrona, Sergio Rodrigues - Produzida em madeira nobre, apresenta desenho característico do renomado designer brasileiro, evidenciando linhas orgânicas, construção refinada e atenção especial ao conforto e funcionalidade. A peça possui selo de identificação, agregando valor histórico e colecionável, além de destacar a autenticidade de sua produção. Com proporções equilibradas e presença marcante, mede 74 cm de altura, 60 cm de largura e 54 cm de profundidade. Por se tratar de uma peça de época, pode conter avarias que realçam sua autenticidade e valor histórico.",SP,https://interiorantigo.com.br/peca.asp?Id=31100445,poltrona,sergio_rodrigues,DOCUMENTED,none,large,2800.0,0,14819.4,3490.0,3665.0,0.5122,3564.76,0.85,BUY_NOW,margem 51%; comps=364; designer=sergio_rodrigues(DOCUMENTED) | base=designer_comps (conservador p25)
