seg,title,bid,maxbid2x,allin,rlo,rhi,netlo,nethi,mlo,st,size,uf,end,estado,url,thumb
sevres,"Cinzeiro em grosso bloco de cristal de Sèvrés, Francês, incolor, image",38.0,324,150,900,2700,687,2361,6.0,0.39,peq/med,RJ,2026-06-22 15:00,junho,https://br.ernanileiloeiro.com.br/peca.asp?Id=29577144,https://d1o6h00a1h5k7q.cloudfront.net/imagens/img_m/56361/29577144.jpg
sevres,"ROYAL EUROPE  PEINTE À LA MAIN. Jarra tipo ânfora em porcelana, decora",260.0,324,383,900,2700,454,2128,2.35,0.39,peq/med,,NaT,sem_data,https://leiloeslemos.com.br/peca.asp?Id=31162617,https://d1o6h00a1h5k7q.cloudfront.net/imagens/img_m/62442/31162617.jpg
brennand,BRENNAND - CONJUNTO DE SEIS XÍCARAS DE CAFÉ EM PORCELANA DOS ANOS 60. ,270.0,328,394,909,2520,452,1950,2.31,0.51,peq/med,RJ,2026-06-18 19:00,junho,https://paulaoantiguidades.com.br/peca.asp?Id=31001243,https://d1o6h00a1h5k7q.cloudfront.net/imagens/img_m/61966/31001243.jpg
sevres,Sèvres - Importante caixa de jóias em porcelana decorada a ouro em alt,900.0,324,1055,900,2700,-218,1456,0.85,0.39,peq/med,RJ,2026-06-18 19:00,junho,https://antiguitati.com.br/peca.asp?Id=31030236,https://d1o6h00a1h5k7q.cloudfront.net/imagens/img_m/62159/31030236.jpg
bronze escult,BRONZE - Escultura em bronze maciço representando gato de corpo alonga,30.0,112,202,576,1710,334,1389,2.86,0.29,medio,RJ,2026-06-16 19:00,junho,https://bruceangeirasleiloeiro.com.br/peca.asp?Id=31203696,https://d1o6h00a1h5k7q.cloudfront.net/imagens/img_m/62664/31203696.jpg
bronze escult,"SEMIRAMIS Escultura em bronze, assinado Semiramis 29. Medidas:13cm x 7",100.0,112,275,576,1710,261,1315,2.09,0.29,medio,,NaT,sem_data,https://prochicleiloes.com.br/peca.asp?Id=31033362,https://d1o6h00a1h5k7q.cloudfront.net/imagens/img_m/62121/31033362.jpg
bronze escult,Escultura em bronze representando bailarina sem assinatura. Altura: 38,150.0,112,328,576,1710,208,1263,1.76,0.29,medio,,NaT,sem_data,https://shoppingdosantiquarios.lel.br/peca.asp?Id=31163820,https://d1o6h00a1h5k7q.cloudfront.net/imagens/img_m/61843/31163820.jpg
escult assinada,Antiga e rara escultura representando cavalo em ceramica vitrificada n,200.0,147,380,648,1719,223,1219,1.71,0.33,medio,RJ,2026-07-09 18:00,julho,https://rrdeco.com.br/peca.asp?Id=31063699,https://d1o6h00a1h5k7q.cloudfront.net/imagens/img_m/62091/31063699.jpg
escult assinada,Antiga e rara escultura em porcelana representando buda com rica polic,200.0,147,380,648,1719,223,1219,1.71,0.33,medio,RJ,2026-07-11 13:00,julho,https://rrdeco.com.br/peca.asp?Id=31064250,https://d1o6h00a1h5k7q.cloudfront.net/imagens/img_m/62091/31064250.jpg
baccarat,"Bela garrafa -licoreira, lapidação ao gosto Baccarat, altura 33cm.",50.0,236,162,716,1440,504,1177,4.41,0.52,peq/med,RJ,2026-06-22 15:00,junho,https://br.ernanileiloeiro.com.br/peca.asp?Id=31142026,https://d1o6h00a1h5k7q.cloudfront.net/imagens/img_m/56361/31142026.jpg
